version	ruby	concurrency	scenario	phase	allocations
v1.2.44	4.0	on	flat_10	render	1967
v1.2.44	4.0	on	flat_100	resolve	1145
v1.2.44	4.0	on	flat_100	render	17807
v1.2.44	4.0	on	sparse_100	resolve	1158
v1.2.44	4.0	on	sparse_100	render	16422
v1.2.44	4.0	on	include_1	resolve	3774
v1.2.44	4.0	on	include_1	render	26498
v1.2.44	4.0	on	include_2	resolve	4331
v1.2.44	4.0	on	include_2	render	35397
v1.2.44	4.0	on	include_3	resolve	7076
v1.2.44	4.0	on	include_3	render	47174
v1.2.44	4.0	on	stats_100	resolve	1159
v1.2.44	4.0	on	stats_100	render	17825
v1.3.6	3.3	off	flat_10	resolve	257
v1.3.6	3.3	off	flat_10	render	2039
v1.3.6	3.3	off	flat_100	resolve	1155
v1.3.6	3.3	off	flat_100	render	18419
v1.3.6	3.3	off	sparse_100	resolve	1171
v1.3.6	3.3	off	sparse_100	render	17037
v1.3.6	3.3	off	include_1	resolve	3852
v1.3.6	3.3	off	include_1	render	28078
v1.3.6	3.3	off	include_2	resolve	4590
v1.3.6	3.3	off	include_2	render	37574
v1.3.6	3.3	off	include_3	resolve	7315
v1.3.6	3.3	off	include_3	render	50131
v1.3.6	3.3	off	stats_100	resolve	1172
v1.3.6	3.3	off	stats_100	render	18440
v1.3.6	3.3	on	flat_10	resolve	257
v1.3.6	3.3	on	flat_10	render	2039
v1.3.6	3.3	on	flat_100	resolve	1155
v1.3.6	3.3	on	flat_100	render	18419
v1.3.6	3.3	on	sparse_100	resolve	1171
v1.3.6	3.3	on	sparse_100	render	17037
v1.3.6	3.3	on	include_1	resolve	3899
v1.3.6	3.3	on	include_1	render	28125
v1.3.6	3.3	on	include_2	resolve	4684
v1.3.6	3.3	on	include_2	render	37668
v1.3.6	3.3	on	include_3	resolve	7456
v1.3.6	3.3	on	include_3	render	50272
v1.3.6	3.3	on	stats_100	resolve	1172
v1.3.6	3.3	on	stats_100	render	18440
v1.3.6	4.0	off	flat_10	resolve	248
v1.3.6	4.0	off	flat_10	render	1988
v1.3.6	4.0	off	flat_100	resolve	1146
v1.3.6	4.0	off	flat_100	render	18008
v1.3.6	4.0	off	sparse_100	resolve	1159
